Date,2YO,3YO,4YO,5YO
2019-09-22,,76169.04730752349,59717.78763828549,46010.41777650904
2019-09-23,,75264.42930039503,,
2019-09-24,,75839.55475905299,58983.59445261456,
2019-09-26,,,,46158.34051857403
2019-09-27,,74846.29598477216,,
2019-09-28,,74151.89627512105,58686.86847597227,
2019-09-29,,74212.59294521139,,45703.81339196465
2019-10-01,,,,46241.10681472944
2019-10-02,,,58502.58342826011,
2019-10-03,,74163.59612658621,,
2019-10-05,,,,46123.12081808236
2019-10-06,,73906.07796357949,58328.50802346956,
2019-10-08,,73703.27819711383,,
2019-10-10,,74054.10429299889,,45944.90019715209
2019-10-11,,,58328.50802346956,
2019-10-13,,,58008.76638873416,
2019-10-14,,74226.68082540805,,45922.36852527986
2019-10-15,,,58384.468214250766,
2019-10-18,,,,45658.22077159233
2019-10-19,,74139.77891934349,,
2019-10-20,,,58511.96122808938,
2019-10-21,,,,45475.94389202449
2019-10-23,,74675.73200667682,,45457.46847878986
2019-10-24,,,58360.05529715362,
2019-10-27,,74767.30322795514,,45177.4718598811
2019-10-28,,,58405.99136455123,
2019-10-30,,74244.46825947173,,
2019-10-31,,74688.25456685162,,44929.86308512183
2019-11-01,,,58212.283011847074,
2019-11-04,,74182.46053479073,58037.25007622672,44525.25861682884
2019-11-06,,,57711.06264922503,
2019-11-08,,73592.72621655805,,43992.47568708855
2019-11-09,,73507.96148287941,,
2019-11-10,,,57181.32411245487,
2019-11-11,,,,43746.57715140705
2019-11-12,,,,43545.79344996001
2019-11-13,,72655.8821834797,,
2019-11-14,,,56453.05897228829,42917.62493476221
2019-11-15,,,56954.86995151086,
2019-11-17,,71846.70678769611,,
2019-11-18,,71430.64298752921,,42641.54983712669
2019-11-19,,,55959.98316540496,42485.15670530967
2019-11-21,,,,42185.76547782276
2019-11-22,,71406.58909318244,,
2019-11-23,,,55692.31344166829,
2019-11-24,,71063.44858267791,,
2019-11-25,,,,42185.33817998591
2019-11-26,,,55815.52245180999,
2019-11-27,,70997.32788532422,55733.95555813196,
2019-11-28,,71558.78851316428,,
2019-11-29,,,,42068.85700849513
2019-11-30,,,55930.39861699195,
2019-12-01,,71946.20521857262,,
2019-12-05,,71253.68107275694,55587.65295186979,
2019-12-06,,,,41915.482955459214
2019-12-28,,88169.84948799587,63147.76793522011,50528.17851536644
2020-01-01,,88128.96857592539,62822.509574970405,50272.53725534053
2020-01-02,,,63458.25740008087,
2020-01-05,,88971.40843624444,,49902.19468083824
2020-01-06,,,63769.77565092966,
2020-01-09,,,,49605.17520669184
2020-01-10,,89166.8777739732,63973.16942126904,48778.68623515405
2020-01-11,,88457.82831824027,63591.569137268496,49200.186031671736
2020-01-12,,,,48212.46181955724
2020-01-14,,89059.45768747362,,
2020-01-15,,,64120.38776932421,47789.634175464525
2020-01-17,,,,47399.074345382985
